lojbo	lojbo gi'e nu'o bredi	glico
ni'o pa mai .abu tirna lo voksa so'i mei pe «lu ta mo'i me la .bil. li'u» .i re mai go'i lo ractu voksa pe «lu ko ta jgari doi lamji be lo spati bitmu li'u» .i ci mai go'i lo smaji .i vo mai go'i lo drata ke voksa kalsa pe «lu ko sarji lo stedu be ta .i gau ko ta pinxe lo jikru .i ko ta na vaxydicra .i ma mo doi pendo .i do ma pu lifri .i ko mi'a jungau la'e di'u li'u»	ni'o pa mai .abu tirna lo voksa so'i mei be fa lu ta mo'i me la bil li'u .i re mai go'i lo voksa be la ractu bei fa lu ko ta jgari doi le lamji be lo spati bitmu li'u .i ci mai go'i lo smaji .i vo mai go'i lo drata ke voksa kalsa be fa di'e .i cu'ei ko sarji lo stedu be ta .i cu'ei gau ko ta pinxe lo jikru .i cu'ei gau ko ta na .o'u vasxu .i cu'ei ma mo doi lo pendo .i do ma pu lifri .i gau ko mi'a djuno la'e di'u	The first thing she heard was a general chorus of 'There goes Bill!' then the Rabbit's voice along—'Catch him, you by the hedge!' then silence, and then another confusion of voices—'Hold up his head—Brandy now—Don't choke him—How was it, old fellow? What happened to you? Tell us all about it!'
ni'o ro mai go'i lo cmalu je ruble je lauble voksa (to «lu tu me la .bil. –sei la .alis. cu pensi– li'u» toi) pe «lu mi ja'a ru'e djuno .i banzu ki'e .i mi ca kufra .i ku'i mi dukse lo ka jenca kei lo nu jungau .i mi djuno lo po'o du'u da mi catke tai lo danre selkei plipe .i mi tolfa'u tai tu'a lo tsani jakne li'u»	ni'o ro mai go'i lo cmalu je ruble je to'e cladu voksa (to lu tu me la bil li'u se pensi la .alis. toi) pe lu mi ja'a ru'e djuno .i banzu ki'e .i mi ca kufra .i ku'i mi dukse lo ka jenca vau lo ka jai gau djuno .i mi djuno ke po'o lo du'u da mi catke tai lo ka danre plipe keltci .i mi to'e farlu tai lo ka tsani jakne li'u	Last came a little feeble, squeaking voice, ('That's Bill,' thought Alice,) 'Well, I hardly know—No more, thank ye; I'm better now—but I'm a deal too flustered to tell you—all I know is, something comes at me like a Jack-in-the-box, and up I goes like a sky-rocket!'
ni'o «lu ie do ca'a go'i doi pendo –sei lo drata cu cusku– li'u»	ni'o lu .ie do ca'a go'i doi le pendo –li'u se cusku lo drata	So you did, old fellow!' said the others.
ni'o «lu .ei mi'o jelgau lo zdani –sei lo ractu voksa cu cusku– li'u» .i la .alis. cu krixa se rai lo ka cladu kei «lu ga nai go'i gi mi ba je'icru la .dinas. do li'u»	ni'o lu .ei gau mi'o jelca fa lo zdani –li'u voksa le ractu .i la .alis. cu krixa se rai lo ka cladu vau lu ga nai go'i gi gau mi ba jersi fa la .dinas. do li'u	We must burn the house down!' said the Rabbit's voice; and Alice called out as loud as she could, 'If you do. I'll set Dinah at you!'
ni'o zi smaji mulno .i la .alis. cu pensi «lu .a'u tu ma ba zukte .i .ei va'o lo nu prije cu vimcu lo drudi li'u» .i ba zi lo mentu be li ji'i re co'a za'u re'u ru'u muvdu .i la .alis. cu tirna lo nu la ractu cu cusku «lu lo nu carcylai li pa cu banzu lo nu cfari li'u»	ni'o zi mulno smaji .i la .alis. cu pensi lu .a'u tu ma ba zukte .i .ei va'o lo nu prije cu vimcu lo drudi li'u .i ba zi lo mentu be li ji'i re le za'u mei co'a za'u re'u ru'u muvdu .i la .alis. cu tirna lo nu le ractu cu cusku lu lo nu canlu be lo pa carci cu banzu lo cfari li'u	There was a dead silence instantly, and Alice thought to herself, 'I wonder what they WILL do next! If they had any sense, they'd take the roof off.' After a minute or two, they began moving about again, and Alice heard the Rabbit say, 'A barrowful will do, to begin with.'
ni'o «lu lo nu ba'e ma carcylai li pa –sei la .alis. cu pensi– li'u» .i ku'i na cumki fa lo nu .abu ze'u senpi .i ba zi bo so'i cmalu bidju cu carvi pa'o lo canko .i su'o ra darxi .abu fo lo flira .i «lu mi ti ba tolcfagau –sei .abu sezysku– li'u» .i .abu krixa «lu le'o ko na za'u re'u co'e li'u» .i la'e di'u cupra lo drata ke smaji mulno	ni'o lu ba'e ma canlu lo pa carci li'u se pensi la .alis. .i ku'i .abu ze'u nai senpi .i ki'u bo ba zi ku so'i cmalu bidju cu carvi pa'o lo canko .i so'o le bidju cu darxi .abu re'o lo flira .i fe lu ca'e gau mi co'u li'u fa .abu cusku fi lo nei .i .abu krixa lu le'o ko na za'u re'u zukte li'u vau noi rinka lo mulno smaji poi drata	A barrowful of WHAT?' thought Alice; but she had not long to doubt, for the next moment a shower of little pebbles came rattling in at the window, and some of them hit her in the face. 'I'll put a stop to this,' she said to herself, and shouted out, 'You'd better not do that again!' which produced another dead silence.
ni'o la .alis. cu se spaji sanji lo nu ro lo bidju cu binxo lo cmalu nanba ca lo nu vreta lo loldi .i lo carmi co'a sidbo fi lo .abu menli .i «lu lo nu mi citka pa lo nanba –sei .abu pensi– ba ju'o rinka lo nu mi cenba lo ka barda .i na sai ka'e brazengau mi .i ja'o ju'o pe'i cmazengau mi li'u»	ni'o la .alis. cu se spaji sanji lo nu ro le bidju co'a cmalu nanba ca lo ka co'a vreta lo loldi .i lo carmi co'a sidbo fi lo menli be .abu .i lu lo nu mi citka pa le nanba –li'u .abu se pensi– fa lu ba ju'o rinka su'o nu mi cenba lo ka canlu .i na sai ka'e rinka lo nu mi zenba lo ka barda .i ja'o ju'o pe'i rinka lo mi zenba lo ka cmalu li'u	Alice noticed with some surprise that the pebbles were all turning into little cakes as they lay on the floor, and a bright idea came into her head. 'If I eat one of these cakes,' she thought, 'it's sure to make SOME change in my size; and as it can't possibly make me larger, it must make me smaller, I suppose.'
ni'o ki'u la'e di'u .abu tunlo pa lo nanba gi'e gleki lo nu facki lo du'u ca co'a cmaze'a .i .abu ca lo nu cmalu banzu lo nu pagre lo vorme cu bajra klama lo bartu be lo zdani gi'e penmi lo so'i cmalu ke danlu jo'u cipni noi denpa .i lo cmalu rebyrespa uu no'u la .bil. cu midju lo ro mei gi'e se sarji re smacrkobaiu noi dunda lo se botpi .i ro da sutra fa'a la .alis. ca lo nu .abu tolcanci .i ku'i .abu to'o bajra se rai lo kamsutra gi'e ba zi snura zvati lo denmi ricfoi	ni'o ki'u la'e di'u .abu tunlo citka pa le nanba gi'e gleki lo ka facki lo du'u ca co'a zenba lo ka cmalu .i ca lo ka cmalu jai banzu lo ka pagre lo vorme vau .abu bajra klama lo bartu be lo zdani gi'e penmi lo gunma be lo cmalu be fa lo so'i danlu joi lo so'i cipni vu'o noi ca'o denpa bu'u lo bartu .i ke .uu lo cmalu rebyrespa be fa la bil cu midju lo ro mei gi'e se sarji re dalsauia noi dunda lo se vasru be lo botpi .i ro da sutra fa'a la .alis. ba zi lo nu .abu to'e canci .i ku'i .abu to'o bajra se rai lo ka sutra .i ba zi bo .abu snura zvati lo denmi boske	So she swallowed one of the cakes, and was delighted to find that she began shrinking directly. As soon as she was small enough to get through the door, she ran out of the house, and found quite a crowd of little animals and birds waiting outside. The poor little Lizard, Bill, was in the middle, being held up by two guinea-pigs, who were giving it something out of a bottle. They all made a rush at Alice the moment she appeared; but she ran off as hard as she could, and soon found herself safe in a thick wood.
ni'o «lu .ei pa mai –sei la .alis. ca lo nu ru'u cadzu bu'u lo ricfoi cu sezysku– mi za'u re'u banro lo mi barda .i .ei re mai mi tolcri lo melbi purdi .i pe'i la'e di'u cu xagrai selpla li'u»	ni'o lu .ei pa mai –li'u se cusku la .alis. fi lo nei ca lo ka ru'u cadzu bu'u le boske vau fe lu mi za'u re'u banro lo na'o se canlu be mi .i .ei re mai mi tolcri le melbi purdi .i pe'i la'e di'u traji lo ka xamgu vau lo se platu li'u	The first thing I've got to do,' said Alice to herself, as she wandered about in the wood, 'is to grow to my right size again; and the second thing is to find my way into that lovely garden. I think that will be the best plan.'
ni'o ju'o xamgu selpla .i cnici je sampu .i lo pa po'o nabmi zo'u: .abu na te sidbo lo nu co'a co'e kei lo cmarai ji'a sai .i ca lo nu .abu xanka catlu ru'u lo tricu kei lo cmalu ke kinli se bacru noi vi gapru lo .abu stedu cu gasnu lo nu .abu fa'a ga'u sutra catlu	ni'o ju'o xamgu se platu .i cnici je sampu .i lo pa po'o nabmi zo'u: .abu na te sidbo lo nu co'a co'e vau lo jai rai cmalu ji'a sai .i ca lo nu .abu xanka catlu ru'u lo tricu vau lo cmalu ke kinli se bacru noi vi gapru lo stedu be .a bu cu gasnu lo nu .abu fa'a ga'u sutra catlu	It sounded an excellent plan, no doubt, and very neatly and simply arranged; the only difficulty was, that she had not the smallest idea how to set about it; and while she was peering about anxiously among the trees, a little sharp bark just over her head made her look up in a great hurry.
ni'o lo bratce gerpanzi fa'a ni'a catlu .abu se pi'o lo barda je cukla kanla gi'e ruble tengau lo xance gi'e troci lo nu pencu .abu .i «lu uu doi dirba li'u» se cusku la .alis. se pi'o lo xlura tonga .i .abu mutce lo ka troci lo nu siclu .i ku'i mutce terpa lo si'o gy xagji noi la'a nibli lo nu gy citka .abu mu'i nai lo nu .abu xlura	ni'o lo tcebarda je citno gerku fa'a ni'a catlu .abu se pi'o lo barda je cukla kanla gi'e ruble jai gau tcena fai lo xance gi'e troci lo ka pencu .abu .i lu .uu doi le dirba li'u se ke xlura tonga cusku la .alis. .i je .abu mutce lo ka troci lo ka siclu .i ku'i .abu mutce terpa fau lo ka pensi lo nu le gerku cu xagji noi la'a nibli lo nu gy citka .abu mu'i nai lo nu .abu xlura	An enormous puppy was looking down at her with large round eyes, and feebly stretching out one paw, trying to touch her. 'Poor little thing!' said Alice, in a coaxing tone, and she tried hard to whistle to it; but she was terribly frightened all the time at the thought that it might be hungry, in which case it would be very likely to eat her up in spite of all her coaxing.
ni'o .abu ja'a ru'e sanji lo nu .abu lo cmalu grana cu lafti gi'e jarco lo gerpanzi .i ja'e bo lo gerpanzi cu plipe lo vacri ro lo jamfu gi'e se pluka cmoni gi'e sezre'o lo garna gi'e gasnu lo nu simlu lo ka gunta ri .i ba bo la .alis. cu rivbi lo nu janli kei lo nu muvdu lo trixe be lo barda cpinyspa .i lo gerpanzi ca lo nu .abu tolcanci lo drata mlana cu za'u re'u sezre'o lo grana gi'e gunro farlu se ja'e lo nu sutra troci lo nu jgari gy .i ba bo la .alis. noi jinvi lo du'u simsa lo nu kelci lo braxirma zi'e noi terpa lo nu se stapa fi lo gy jamfu cu za'u re'u bajra fa'ati'a lo cpinyspa .i lo gerpanzi co'a so'o roi ze'i gunta lo grana gi'e ve'i fa'a je ve'u to'o bajra gi'e ro roi rufsu bacru gi'e ro mai vu zutse gi'e ta'irva'u gi'e se tance lo dandu be lo moklu gi'e se kanla lo xadba ganlo	ni'o .abu ja'a ru'e sanji lo nu ju'a .abu co'a jgari lo cmalu grana gi'e jai gau zgana fai le gerku .i ja'e bo le gerku cu plipe lo vacri se pi'o lo lo jamfu gi'e se pluka cmoni gi'e renro lo nei le garna gi'e gasnu lo ka simlu lo ka gunta ri .i ba bo la .alis. cu rivbi lo ka janli vau ta'i lo ka muvdu lo trixe be lo barda cpinyspa .i le gerku ca lo nu .abu to'e canci lo drata mlana cu za'u re'u renro lo nei le grana gi'e gunro farlu se ja'e lo nu sutra troci lo ka jgari le grana .i ba bo la .alis. fau lo ka jinvi lo du'u simsa lo nu kelci lo braxirma ce'e fau lo ka terpa lo ka se stapa fi lo jamfu be le gerku cu za'u re'u bajra fa'a ti'a le cpinyspa .i le gerku co'a so'o roi ze'i gunta le grana gi'e ve'i fa'a je ve'u to'o bajra gi'e ro roi rufsu bacru gi'e ro mai vu zutse gi'e tatpi vasxu gi'e se tance lo dandu be lo moklu gi'e se kanla lo xadba ganlo	Hardly knowing what she did, she picked up a little bit of stick, and held it out to the puppy; whereupon the puppy jumped into the air off all its feet at once, with a yelp of delight, and rushed at the stick, and made believe to worry it; then Alice dodged behind a great thistle, to keep herself from being run over; and the moment she appeared on the other side, the puppy made another rush at the stick, and tumbled head over heels in its hurry to get hold of it; then Alice, thinking it was very like having a game of play with a cart-horse, and expecting every moment to be trampled under its feet, ran round the thistle again; then the puppy began a series of short charges at the stick, running a very little way forwards each time and a long way back, and barking hoarsely all the while, till at last it sat down a good way off, panting, with its tongue hanging out of its mouth, and its great eyes half shut.
ni'o lo cabna cu simlu fi la .alis. fe lo ka xamgu mapti lo nu cliva .i se ki'u bo .abu zi co'a go'i gi'e bajra co'u lo nu mutce tatpi gi'e vasxu claxu .e lo nu lo se bacru be lo gerpanzi vu se sance lo ruble mutce	ni'o lo cabna cu simlu fi la .alis. fe lo ka xamgu mapti lo nu cliva .i se ki'u bo .abu zi co'a cliva gi'e bajra co'u lo ka mutce tatpi gi'e vasxu claxu .e lo nu lo se bacru be le gerku vu se sance lo mutce ruble	This seemed to Alice a good opportunity for making her escape; so she set off at once, and ran till she was quite tired and out of breath, and till the puppy's bark sounded quite faint in the distance.
ni'o «lu ku'i ia dirba ke cmalu gerpanzi –sei la .alis. noi surla lo nu vreta lo matnyxrula kei gi'e pilno lo my pezli lo nu cupra lo brife cu cusku– .i mi mutce nelci lo nu ctuca tu lo seltra va'o da'i lo nu mi mapti fi lo ka barda .i .oi mi jibni tolmorji lo nu .ei mi za'u re'u banro .i .a'a .ei mi ma zukte .i ru'a .ei mi citka ja pinxe da .i ku'i lo banli preti zo'u: go'i ma li'u»	ni'o lu ku'i .ia dirba ke cmalu ke citno gerku li'u se cusku la .alis. fau lo nu ri surla lo ka vreta lo matni flora ce'e fau lo nu .abu pilno lo pezli be le flora lo ka cupra lo brife .i lu mi mutce nelci lo ka ctuca tu lo se trati va'o da'i lo nu mi mapti fi lo ka barda .i .oi mi jibni to'e morji lo nu fau ro da mi ba za'u re'u banro .i .a'a .ei mi ma zukte .i ru'a .ei mi citka ja pinxe da .i ku'i lo banli preti zo'u: go'i ma li'u	And yet what a dear little puppy it was!' said Alice, as she leant against a buttercup to rest herself, and fanned herself with one of the leaves: 'I should have liked teaching it tricks very much, if—if I'd only been the right size to do it! Oh dear! I'd nearly forgotten that I've got to grow up again! Let me see—how IS it to be managed? I suppose I ought to eat or drink something or other; but the great question is, what?'
ni'o ju'o lo banli preti cu me zo ma .i la .alis. fa'a ru'u catlu lo xrula .e lo srasu gi'e ku'i viska no da poi simlu lo ka mapti lo se citka ja pinxe .i lo barda gumri cu zvati lo jibni be .abu gi'e simsa .abu lo ka galtu .i .abu ca lo nu ba'o catlu lo cnita .e lo re mlana .e lo trixe cu te sidbo fi lo du'u .e'e catlu gi'e viska lo nu ma kau cpana	ni'o ju'o lo banli preti cu me zo ma .i la .alis. fa'a ru'u catlu lo za'u flora .e lo srasu gi'e ku'i viska no da poi simlu lo ka mapti lo se citka ja pinxe .i lo barda gumri cu zvati lo jibni be .abu gi'e simsa .abu lo ka galtu clani .i ca lo ka ba'o catlu lo cnita .e lo re mlana .e lo trixe vau .abu co'a te sidbo fi lo ka .e'e catlu gi'e viska lo nu ma kau cpana	The great question certainly was, what? Alice looked all round her at the flowers and the blades of grass, but she did not see anything that looked like the right thing to eat or drink under the circumstances. There was a large mushroom growing near her, about the same height as herself; and when she had looked under it, and on both sides of it, and behind it, it occurred to her that she might as well look and see what was on the top of it.
ni'o .abu tcena ji'u lo jamfu jipno gi'e catlu lo bancu be lo korbi be lo gumri .i lo .abu kanla cu penmi lo kanla be lo barda ciftoldi noi zutse lo cpana zi'e noi lo ke'a birka cu se polje zi'e noi smaji damva'u se pi'o lo clani nargile zi'e noi jundi ge nai .abu gi no drata	ni'o .abu jai zu'e tcena ji'u lo jamfu jipno gi'e catlu lo bancu be lo korbi be lo gumri .i lo kanla be .abu cu penmi lo kanla be lo barda larva noi zutse lo cpana je noi lo birka be ke'a cu se polje je noi smaji vasxu lo danmo se pi'o lo clani nargile je noi jundi ge nai .abu gi no drata	She stretched herself up on tiptoe, and peeped over the edge of the mushroom, and her eyes immediately met those of a large caterpillar, that was sitting on the top with its arms folded, quietly smoking a long hookah, and taking not the smallest notice of her or of anything else.
ni'o ni'o mu mo'o se djusku lo ciftoldi	ni'o ni'o mu mo'o se stidi lo larva	CHAPTER V. Advice from a Caterpillar
no'i la ciftoldi joi la .alis. ze'a simxu lo nu smaji catlu .i ba zu bo la ciftoldi cu bevri lo nargile fo lo moklu gi'e cusku fi .abu fo lo surla je cando voksa	no'i la larva jo'u la .alis. ze'a smaji catlu zu'ai .i ba zu bo la larva cu jai zu'e jbini fai lo nargile lo moklu gi'e cusku fi .abu tai lo ka se ke surla je cando voksa	The Caterpillar and Alice looked at each other for some time in silence: at last the Caterpillar took the hookah out of its mouth, and addressed her in a languid, sleepy voice.
ni'o «lu do me ba'e ma –sei la ciftoldi cu cusku– li'u»	ni'o lu do me ba'e ma li'u se cusku la larva	Who are YOU?' said the Caterpillar.
ni'o di'u na xamgu mukti lo nu co'a casnu .i la .alis. cu toldarsi spusku «lu mi .y .i mi na'e mulno djuno doi do'u ga'i nai ca lo cabna .i sa'u nai mi djuno lo du'u mi me ma kau ca lo nu mi ckana cliva ca lo cabycerni .i ku'i pe'i mi so'o roi se galfi ba la'e di'u li'u»	ni'o di'u na xamgu mukti lo nu co'a casnu .i la .alis. cu to'e darsi spusku lu mi .y .i mi na'e mulno djuno doi do ga'i nai ca lo cabna .i sa'u nai mi djuno lo du'u mi me ma kau ca lo nu mi ckana cliva ca lo ca cerni .i ku'i pe'i mi so'o roi se galfi ba la'e di'u li'u	This was not an encouraging opening for a conversation. Alice replied, rather shyly, 'I—I hardly know, sir, just at present—at least I know who I WAS when I got up this morning, but I think I must have been changed several times since then.'
ni'o «lu ma di'u do smuni –sei la ciftoldi cu jursa cusku– .i ko ko ciksi li'u»	ni'o lu ma di'u do smuni –li'u jursa se cusku la larva fa lu .i ko ko ciksi li'u	What do you mean by that?' said the Caterpillar sternly. 'Explain yourself!'
ni'o «lu .u'u mi na kakne lo nu mi mi ciksi doi do'u ga'i nai –sei la .alis. cu cusku– .i ki'u bo mi na me mi ua pei li'u»	ni'o lu .u'u mi na kakne lo ka ciksi mi doi do ga'i nai li'u se cusku la .alis. fa lu .i ki'u bo mi na me mi .ua pei li'u	I can't explain MYSELF, I'm afraid, sir' said Alice, 'because I'm not myself, you see.'
ni'o «lu ua nai –sei la ciftoldi cu cusku– li'u»	ni'o lu .ua nai li'u se cusku la larva	I don't see,' said the Caterpillar.
ni'o «lu .u'u mi na kakne lo nu xagmau cusku de'u –sei la .alis. cu clite mutce spuda– ki'u lo nu zu'u mi na jimpe la'e de'u .i je zu'u nai lo nu mitre so'i da ze'a lo pa donri cu cfipu mutce li'u»	ni'o lu .u'u mi na kakne lo ka smusku la'e do'i ta'i lo ka se mau xamgu li'u la .alis. cu se ke mutce clite cusku fa lu ki'u lo nu zu'u mi na jimpe la'e do'i .i je zu'u nai lo nu mitre so'i da ze'a lo pa donri cu mutce cfipu li'u	I'm afraid I can't put it more clearly,' Alice replied very politely, 'for I can't understand it myself to begin with; and being so many different sizes in a day is very confusing.'
